"Program Name","Institution Name",District,"Accredited Date","Expiry Date",Status
"Bachelor of Science Mobile Computing and Communications","Universal Technology and Management University (UTAMU), Kungu Campus",Luwero,21/Aug/2023,21/Aug/2028,Active
"Diploma in Science Laboratory Technology","St. Ignatius University, Kabale",Kabale,21/Aug/2023,21/Aug/2028,Active
"Diploma in Agriculture","St. Ignatius University, Kabale",Kabale,21/Aug/2023,21/Aug/2028,Active
"Diploma in Tourism and Hotel Management","St. Ignatius University, Kabale",Kabale,21/Aug/2023,21/Aug/2028,Active
"Diploma in Hotel and Institutional Catering","Hope Vocational and Technical Institute (HVTI)",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Diploma in Civil and Building Engineering","Hope Vocational and Technical Institute (HVTI)",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Diploma in Electrical Engineering","Hope Vocational and Technical Institute (HVTI)",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Diploma in Journalism and Mass  Communication","Hope Vocational and Technical Institute (HVTI)",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Diploma in Information and Communication Technology","Hope Vocational and Technical Institute (HVTI)",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Chartered Banker Level 1","Uganda Institute of Banking and Financial Services",Kampala,21/Aug/2023,21/Aug/2028,Active
"Chartered Banker Level 2","Uganda Institute of Banking and Financial Services",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science in Sports Science","Ndejje University",Luwero,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Theology","Ndejje University",Luwero,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Theology","Ndejje University",Luwero,21/Aug/2023,21/Aug/2028,Active
"Diploma in Early Childhood Education Care and Development","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Diploma in Agribusiness Management","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science in Tourism and Hotel Management","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Diploma in Information Systems and Technology","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Masters of Science in Human Resource Management","Team University",Kampala,21/Aug/2023,21/Aug/2028,Active
"PhD  in Business and Administration","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2033,Active
"Diploma in Library and Information Science","Uganda College of Commerce, Kabale",Kabale,21/Aug/2023,21/Aug/2028,Active
"Diploma in Tourism and Hospitality Management","Uganda College of Commerce, Kabale",Kabale,21/Aug/2023,21/Aug/2028,Active
"Diploma in Tourism and Hospitality Management","Uganda College of Commerce, Pakwach",Pakwach,21/Aug/2023,21/Aug/2028,Active
"Diploma in Tourism and Hospitality Management","Uganda College of Commerce, Tororo",Tororo,21/Aug/2023,21/Aug/2028,Active
"Diploma in Tourism and Hospitality Management","Uganda College of Commerce, Tororo",Tororo,21/Aug/2023,21/Aug/2028,Active
"Master Of Clinical Epidemiology and Biostatistics","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Agricultural Economics and Agri-business Management","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Bachelors of Social Work","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Masters in Education","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Diploma in Education – Primary (Programme affiliation with St Johns  Ggaba PTC)","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Diploma in Early Childhood Development (Programme Affiliation with St Johns Ggaba PTC)","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Master of Science in Information Technology","University of Kisubi",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Industrial Art and Design","University of Kisubi",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Arts in Biblical Studies","Trinity Biblical Institute",Kapchorwa,21/Aug/2023,21/Aug/2028,Active
"Bachelors of Arts in Theology with Missions","Trinity Biblical Institute",Kapchorwa,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Tourism, Heritage and Leisure Management","St. Ignatius University, Kabale",Kabale,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Business Administration","St. Ignatius University, Kabale",Kabale,21/Aug/2023,21/Aug/2028,Active
"Diploma in Pre – Primary Education","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of  Banking and Microfinance","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Doctor of Philosophy in Social Work","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2033,Active
"Bachelor of Performing Arts","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Ethics and Human Rights","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Arts in Humanities","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Gender and Women Studies","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Post Graduate Diploma in Pre – Primary Education","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Community Development and Lifelong Learning","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Post Graduate Diploma in Community Development and Lifelong Learning","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Arts in Kiswahili","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Culinary Arts","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"PhD in Musical Arts","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"PhD in History","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2033,Active
"PhD in Geography","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2033,Active
"Master of Teacher Education","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Science in Ugandan Sign Language Translation and Interpreting","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Medicine and Bachelor of Surgery","Lira University",Lira,21/Aug/2023,21/Aug/2028,Active
"Master of Medicine in Ophthalmology","Makerere University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Applied Psychology","Makerere University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate – Humanities","Michelangelo College of Creative Arts (MCCA)",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science in Aquaculture","Mountains of the Moon University",Kabarole,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Early Childhood Teacher Education","Multitech Business School",Kampala,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate – Physical Sciences","Ndejje University",Luwero,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate – Biological","Ndejje University",Luwero,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Administration and Information Processing","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Project Planning and Management","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Public Procurement","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"PhD in Computing","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2033,Active
"Postgraduate Diploma in Counselling Psychology","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Advanced Certificate in Industrial Design","SASA College of Industrial Design",Luwero,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Medical Laboratory Sciences","Soroti University",Soroti,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science in Physiotherapy","Soroti University",Soroti,21/Aug/2023,21/Aug/2028,Active
"Diploma in Early Childhood Education","Soroti University",Soroti,21/Aug/2023,21/Aug/2028,Active
"Diploma in Animal Production and Management","St. Mathias Mbuye Agricultural College",Rakai,21/Aug/2023,21/Aug/2028,Active
"Diploma in Crop Production and Management","St. Mathias Mbuye Agricultural College",Rakai,21/Aug/2023,21/Aug/2028,Active
"Diploma in Public Administration and Management","Team University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Diploma in Public Administration and Management","Team University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science in Management","Team University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Business Studies with Education","Team University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Software Engineering","Team University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Diploma in Early Childhood Care and Education","Team University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Arts in Economics","Team University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Arts in Biblical Studies","Trinity Biblical Institute",Kapchorwa,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Arts in Theology with Missions","Trinity Biblical Institute",Kapchorwa,21/Aug/2023,21/Aug/2028,Active
"PhD in Journalism and Media Communication","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2033,Active
"Master of Nursing – Nursing Education","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Nursing Sciences – Completion","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2028,Active
"Doctor of Philosophy in Literature","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2033,Active
"Postgraduate Diploma in Christian Ministries","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2028,Active
"Doctor of Philosophy in Theology","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2033,Active
"Master of Art in African Studies","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2028,Active
"PhD in Development Studies","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2033,Active
"Higher Education Certificate – Physical Sciences","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2028,Active
"Master of Literature","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2028,Active
"Doctor of Ministry","Uganda Christian University",Mukono,21/Aug/2023,21/Aug/2033,Active
"Bachelor of Science in Electrical Engineering","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science in Civil Engineering","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science in Mechanical and Manufacturing Engineering","Uganda Martyrs University",Mpigi,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science with Education","Universal Technology and Management University Formerly (Uganda Technology and Management University)",Kampala,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Dance Education","University of Kisubi",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Primary Education","University of Kisubi",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Arts in Music","University of Kisubi",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Master of Child Protection","University of Kisubi",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Child Development and Protection","University of Kisubi",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Science in Computer Science","University of Kisubi",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Diploma in Information Technology with Education","Westminster Christian Institute Uganda",Kampala,21/Aug/2023,21/Aug/2028,Active
"Diploma in Education – Primary","Westminster Christian Institute Uganda",Kampala,21/Aug/2023,21/Aug/2028,Active
"Diploma in Journalism and Mass Communication","African Ark College of Management Sciences (AACMS)",Kasese,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate in Mathematics and Chemistry","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate in Geography and economics","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate (HEC) – ICT","Kumi University",Kumi,21/Aug/2023,21/Aug/2028,Active
"Diploma in Computer Science","Kumi University",Kumi,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Computer Science","Kumi University",Kumi,21/Aug/2023,21/Aug/2028,Active
"Post Graduate Diploma in Monitoring and Evaluation","Kumi University",Kumi,21/Aug/2023,21/Aug/2028,Active
"Master of Teacher Education","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"PhD in Social Work","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2033,Active
"Master of Gender and Women Studies","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Pre – Primary Education","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Accounting and Information Systems","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Science in Ugandan Sign Language Translation and Interpreting","Kyambogo University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Master of Arts in Police Administration and Law Enforcement","Nkumba University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Diploma in Journalism and Media Studies","Africa Renewal University",Wakiso,21/Aug/2023,21/Aug/2028,Active
"Master of Project Planning and Management","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Postgraduate Diploma in Project Planning and Management","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Diploma in Midwifery science","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Diploma in Environmental Health science","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Diploma in Nursing Science – extension","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Technology in Graphic Art and Animation","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Bachelor of Arts in Economics","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Master of Arts in Economic Policy and Planning","Bishop Stuart University",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate Programme – Biological Sciences","Kampala International University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate Programme – Humanities","Kampala International University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Higher Education Certificate Programme – Physical Sciences","Kampala International University",Kampala,21/Aug/2023,21/Aug/2028,Active
"Masters in Management Studies (MMS)","Uganda Management Institute, Mbarara Campus",Mbarara,21/Aug/2023,21/Aug/2028,Active
"Masters in Management Studies (MMS)","Uganda Management Institute, Gulu Campus",Gulu,21/Aug/2023,21/Aug/2028,Active
